_id,OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,geometry
606613,May,Wednesday,2023,10,0.0,NO,NO,YES,Fort York-Liberty Village (163),-79.41081442972715,43.639268680588266,MULTIPOINT ((-79.41081443 43.639268681))
606821,May,Thursday,2023,21,0.0,YES,NO,NO,Don Valley Village (47),-79.34698765381663,43.775179913411826,MULTIPOINT ((-79.346987654 43.7751799130001))
606825,May,Thursday,2023,18,0.0,NO,NO,YES,Bedford Park-Nortown (39),-79.43340690319262,43.734875661265406,MULTIPOINT ((-79.4334069029999 43.734875661))
606832,May,Thursday,2023,4,0.0,NO,NO,YES,Trinity-Bellwoods (81),-79.41506272831111,43.64497168774215,MULTIPOINT ((-79.415062728 43.6449716880001))
606834,May,Thursday,2023,8,0.0,YES,NO,NO,South Riverdale (70),-79.34386298167071,43.663917320219454,MULTIPOINT ((-79.343862982 43.6639173200001))
606940,May,Friday,2023,15,0.0,YES,NO,NO,St Lawrence-East Bayfront-The Islands (166),-79.36432245533886,43.645571284674865,MULTIPOINT ((-79.364322455 43.6455712850001))
606943,May,Friday,2023,7,0.0,YES,NO,NO,Long Branch (19),-79.54498056312703,43.590474662301595,MULTIPOINT ((-79.544980563 43.5904746620001))
606946,May,Friday,2023,8,0.0,YES,NO,NO,South Riverdale (70),-79.34161308535438,43.66482912754533,MULTIPOINT ((-79.3416130849999 43.6648291280001))
606950,May,Friday,2023,11,0.0,YES,NO,NO,Ionview (125),-79.26796220997538,43.73216947825402,MULTIPOINT ((-79.26796221 43.732169478))
606963,May,Friday,2023,18,0.0,YES,NO,NO,Yonge-Bay Corridor (170),-79.38609184078352,43.650115789219385,MULTIPOINT ((-79.3860918409999 43.650115789))
607140,May,Friday,2023,7,0.0,NO,YES,NO,Rosedale-Moore Park (98),-79.38784294973205,43.67286831309028,MULTIPOINT ((-79.3878429499999 43.672868313))
607244,May,Saturday,2023,0,0.0,YES,NO,NO,Bay-Cloverhill (169),-79.39390844339883,43.665020504871634,MULTIPOINT ((-79.393908443 43.665020505))
607268,May,Saturday,2023,20,0.0,YES,NO,NO,Rosedale-Moore Park (98),-79.39072965553686,43.67988393013762,MULTIPOINT ((-79.390729656 43.6798839300001))
